Generación,Mejor Fitness,Fitness Promedio,Diversidad,Peor Fitness,Mejor Cromosoma
1,58288.43,26582.39,0.88,-17401.99,[[[8.101398405390679],[4.0794988991903],[7.573945198956017],[7.023175684891925],[8.372830300957666],[3.1103291303813316],[7.442873617083649],[4.201469977925095],[5.791779581207203],[3.8123328418381464],[8.655160228079566],[9.816215993722675],[2.754752550566797],[8.138235882182155],[3.4827985440700604],[9.779498434861306],[8.94487799592411],[3.909513326306262],[8.758646998975596],[4.8293909579215475],[6.211181339682721],[2.9798004702203773],[8.871945611062896],[4.283733653782655],[2.9932229430855415],[8.325606291219772],[4.362549758663695],[3.6757239353184157],[6.805009434212945],[5.923704665785862],[2.0063445424515223],[0.7880850035885478],[1.3187443590693437],[0.3467674898063944],[0.10982206219868562],[5.827949954977942],[0.22932188967488387],[3.1820088149295387],[2.895809263227461],[8.455287725396545],[4.275211932282844],[3.948896091578753],[9.607162257663479],[9.948654599325666],[7.826025817751759],[2.5787982273304264],[6.194972402105206],[6.482407533020846],[5.0896192507129365],[3.5073941739203764],[5.3049226043337825],[5.917374958004031],[7.56434270207958],[8.945591721195388]]]
12,100745.37,58150.01,0.66,-10277.43,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
13,100745.37,56116.96,0.72,-28422.26,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
14,100745.37,65800.06,0.70,72.14,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
15,100745.37,58879.17,0.70,72.14,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
16,100745.37,64115.16,0.74,-43730.90,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
17,100745.37,59696.05,0.76,-13817.36,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
18,100745.37,59602.73,0.80,-10277.43,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
19,100745.37,59689.40,0.70,-13817.36,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
20,100745.37,56264.08,0.76,-3332.48,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
21,100745.37,63356.24,0.80,-3332.48,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
22,100745.37,64109.20,0.76,-3332.48,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
23,100745.37,56153.49,0.76,-6782.41,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
24,100745.37,61540.80,0.72,-3332.48,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
25,100745.37,59698.75,0.82,3431.27,[[[1.7928901055386304],[5.43921232313317],[7.573945198956017],[1.7261748959734424],[5.460201300978271],[3.133581514963373],[7.442873617083649],[8.271312676418333],[5.906211152110931],[2.478908854098003],[9.829980966500507],[1.9867939717076954],[1.2632409915835519],[7.519580772793844],[7.968068266949487],[1.4487723521059925],[6.706914543188049],[3.909513326306262],[8.499678538841897],[2.6485938396228184],[6.211181339682721],[6.446667041148782],[0.2791053253989517],[4.283733653782655],[0.27552355905171133],[0.5930024700478431],[4.362549758663695],[4.6741382661763335],[6.805009434212945],[2.738080577934474],[0.7325003626262006],[0.7880850035885478],[4.248279015981748],[3.3479958895291926],[8.68126136817801],[9.221278328985413],[0.22932188967488387],[1.8566324109110433],[4.568517450792403],[8.467911546418359],[4.258634149673224],[2.2312569301856424],[9.607162257663479],[1.8020523129929333],[7.826025817751759],[6.324861130205069],[6.194972402105206],[4.315840605662537],[6.621808332219742],[2.5761359803391493],[2.55158694840857],[9.032968709705075],[6.725266109223787],[9.136086121392188]]]
